id,备注,中文简体,翻译标记（示例）：0407更新待译,,,,,,,,,,
ID,,Desc,,,,,,,,,,,
1,,当前状态不能睡觉,,,,,,,,,,,
2,,不能睡在这个地方，你需要床,,,,,,,,,,,
3,,不能在白天睡觉,,,,,,,,,,,
4,,距离床太远,,,,,,,,,,,
5,,这里太热了，不能使用水桶,,,,,,,,,,,
6,,烈焰星不能放置床,,,,,,,,,,,
7,,弹药不足,,,,,,,,,,,
8,,正在全力上传/下载地图中，请稍后再试,,,,,,,,,,,
9,,正在全力下载地图，请稍后再试,,,,,,,,,,,
10,,存档数量达到上限，请删除不需要的存档地图,,,,,,,,,,,
11,,分享地图成功，快通知小伙伴们下载吧,,,,,,,,,,,
12,,网络中断，暂停分享，请连接网络后再试,,,,,,,,,,,
13,,请选择地图进入！,,,,,,,,,,,
14,,正在分享，上传地图完成后才能进入,,,,,,,,,,,
15,,"此地图未下载完成,不能进入",,,,,,,,,,,
16,,是否删除正在下载的存档,,,,,,,,,,,
17,,"确定要永久删除此地图吗？ 
#cef2d2d（地图的备份也会被删除）
（删除后无法恢复）#n",,,,,,,,,,,
18,,没有连接到网络，请在无线局域网下分享地图,,,,,,,,,,,
19,,没有连接到网络，请在无线局域网下下载地图,,,,,,,,,,,
20,,没有连接到网络，请在无线局域网下更新地图,,,,,,,,,,,
21,,"温馨提醒：您正在使用移动网络，游戏和语音会消耗流量，是否继续？
（建议连接无线局域网网络）",,,,,,,,,,,
22,,网络不稳定，下载中断，请重新连接无线局域网再试,,,,,,,,,,,
23,,暂没有更多地图了，快来分享你的地图吧,,,,,,,,,,,
24,,没有更多关注地图了,,,,,,,,,,,
25,,我的关注已满，请删除部分关注的地图,,,,,,,,,,,
26,,成功添加地图，请到（我的关注）查看,,,,,,,,,,,
27,,是否取消关注,,,,,,,,,,,
28,,下载存档数已满，请删除不需要的存档地图,,,,,,,,,,,
29,,下载地图失败，请检查网络状况再试,,,,,,,,,,,
30,,今天已经给这个地图评过分，每天一次,,,,,,,,,,,
31,,今天的点赞已经用完，请明天再试,,,,,,,,,,,
32,,有限的地图说明：创建固定大小的随机地形地图，适合普通性能的设备,,,,,,,,,,,
33,,超大的地图说明：创建无限的大小的地形地图，适合较高性能的设备,,,,,,,,,,,
34,,平坦地形的说明：创建平整地形的地图，适合搭建建筑,,,,,,,,,,,
35,,请选择要制作的物品！,,,,,,,,,,,
36,,确定要删除好友吗？,,,,,,,,,,,
37,,网络连接不稳定，请稍后再试,,,,,,,,,,,
38,,这个小伙伴已是你的好友,,,,,,,,,,,
39,,好友数量已达上限,,,,,,,,,,,
40,,不能添加自己为好友,,,,,,,,,,,
41,,添加好友不成功，请稍后再试,,,,,,,,,,,
42,,成功删除该好友,,,,,,,,,,,
43,,游戏内不能下载存档地图，请到主界面再试,,,,,,,,,,,
44,,附近好友暂时没找到，请稍后再搜索,,,,,,,,,,,
45,,输入角色名可使用数字、字母、或者汉字,,,,,,,,,,,
46,,角色名已存在 （点击文字可输入）,,,,,,,,,,,
47,,高等配置,,,,,,,,,,,
48,,中等配置,,,,,,,,,,,
49,,低等配置,,,,,,,,,,,
50,,背视角,,,,,,,,,,,
51,,正视角,,,,,,,,,,,
52,,主视角,,,,,,,,,,,
53,,视野(远),,,,,,,,,,,
54,,视野(中),,,,,,,,,,,
55,,视野(近),,,,,,,,,,,
56,,储物箱已满！,,,,,,,,,,,
57,,帐号任务点数：,,,,,,,,,,,
58,,无,,,,,,,,,,,
59,,的冒险,,,,,,,,,,,
60,,的创造,,,,,,,,,,,
61,,缺少@1,,,,,,,,,,,
62,,制作了@1×@2,,,,,,,,,,,
63,,删除好友,,,,,,,,,,,
64,,@1成为你的好友,,,,,,,,,,,
65,,已从附魔界面掉出,,,,,,,,,,,
66,,附魔所需星星不足,,,,,,,,,,,
67,,还没有附魔属性,,,,,,,,,,,
68,,随机给予附魔属性,,,,,,,,,,,
69,,此物品已被附魔,,,,,,,,,,,
70,,融合后副物品会消失,,,,,,,,,,,
71,,请放入副物品,,,,,,,,,,,
72,,请选择附魔物品,,,,,,,,,,,
73,,星星,,,,,,,,,,,
74,,迷你币,,,,,,,,,,,
75,,可附魔的物品：,,,,,,,,,,,
76,,可用的主物品,,,,,,,,,,,
77,,可用的副物品,,,,,,,,,,,
78,,无适合属性,,,,,,,,,,,
79,,@1附魔成功！,,,,,,,,,,,
80,,请放入要附魔的物品,,,,,,,,,,,
81,,已从附魔界面放入背包,,,,,,,,,,,
82,,在野外努力生存吧，收集资源，探索世界,,,,,,,,,,,
83,,拥有各种无限的资源可以搭建任何想到的东西,,,,,,,,,,,
84,,创建一个新的存档\n 开始冒险吧,,,,,,,,,,,
85,,你还没有存档，快去#cfa7a0f创建#n一个吧,,,,,,,,,,,
86,,这里有更多地图可以#cfa7a0f下载！#n,,,,,,,,,,,
87,,第一次进入游戏，推荐进行新手教学，了解游戏基本玩法,,,,,,,,,,,
88,,选择场景中的人物\n 创建你的角色吧,,,,,,,,,,,
89,,请选择角色,,,,,,,,,,,
90,,新手教学还没完成，是否继续？,,,,,,,,,,,
91,,如果你第一次进入迷你世界 我们强烈建议你进入#c0aaa1a教学地图(推荐)#n,,,,,,,,,,,
92,,新手教学地图,,,,,,,,,,,
93,,已到达：地下世界,,,,,,,,,,,
94,,已到达：地表世界,,,,,,,,,,,
95,,你在与@other的战斗中不慎失手。,,,,,,,,,√,,
96,,@self在游泳过程中要注意氧气消耗哦~,,,,,,,,,√,,
97,,@self注意远离高温物体！,,,,,,,,,,,
98,,高处危险重重，要随时注意安全哦！,,,,,,,,,√,,
99,,你需要一件宇航服。,,,,,,,,,,,
100,,小心仙人掌！,,,,,,,,,,,
101,,这运气可以买彩票了。,,,,,,,,,,,
102,,中毒了请喝鲜奶！,,,,,,,,,,,
103,,@self像花一样凋谢了。,,,,,,,,,,,
104,,已进入奔跑模式,,,,,,,,,,,
105,,已进入潜行模式,,,,,,,,,,,
106,,快来我的冒险房间吧！我和小伙伴都在等你,,,,,,,,,,,
107,,这冒险房间很酷！根本停不下来,,,,,,,,,,,
108,,谁快来我的冒险房间作客？,,,,,,,,,,,
109,,是兄弟，就来我的冒险房间吧！,,,,,,,,,,,
110,,谁来帮我挖挖矿，快来我的冒险房间！,,,,,,,,,,,
111,,快快来我的创造房间！这里很多好玩的,,,,,,,,,,,
112,,快来我的创造房间大家一起开派对！,,,,,,,,,,,
113,,我精心打造的创造房间，欢迎大家,,,,,,,,,,,
114,,我的创造房间早已等候多时！,,,,,,,,,,,
115,,我的创造房间有座大房子，快进来看看吧！,,,,,,,,,,,
116,,月圆了，这是一个特殊的夜晚...,,,,,,,,,,,
117,,月隐了，这是一个特殊的夜晚...,,,,,,,,,,,
118,,这里有很多货物，你需要些什么？或许你还可以去沙漠和冰原找我的兄妹。,,,,,,,,,,,
119,,漫漫黄沙我长大的地方，我想要更多的货物将其变为绿洲！,,,,,,,,,,,
120,,冰原寒冷，我需要大量的物资，你可以为我提供吗？,,,,,,,,,,,
121,,有不合规的敏感词，请重新输入,,,,,,,,,,,
122,,这是房主专用的储物箱，你不可以打开,,,,,,,,,,,
123,,输入修改的名字,,,,,,,,,,,
124,,需要花费,,,,,,,,,,,
125,,存档内无法修改名字,,,,,,,,,,,
126,,恭喜成功修改名字为,,,,,,,,,,,
127,,改名没有成功，请检查网络再试,,,,,,,,,,,
128,,购买的道具会存放到左下角的仓库中,,,,,,,,,,,
129,,在存档内，点击道具可以提取到背包,,,,,,,,,,,
130,,这类道具只有房主能够提取并使用,,,,,,,,,,,
131,,购买成功，请从左下角进入仓库查看,,,,,,,,,,,
132,,提取成功，请到背包查看,,,,,,,,,,,
133,,极限冒险分数：,,,,,,,,,,,
134,,你被房主请离了当前房间,,,,,,,,,,,
135,,房主被外星人掳走了，断开连接！,,,,,,,,,,,
136,,麻麻叫房主吃饭了，关闭了房间,,,,,,,,,,,
137,,无法进入，地图下载失败或已损坏（建议提前分享做备份）,,,,,,,,,,,
138,,活跃等级:,,,,,,,,,,,
139,,成就解锁：,,,,,,,,,,,
140,,信 息,,,,,,,,,,,
141,,头 像,,,,,,,,,,,
142,,使 用,,,,,,,,,,,
143,,解 锁,,,,,,,,,,,
144,,输入作者迷你号,,,,,,,,,,,
145,,输入迷你号,,,,,,,,,,,
146,,网络不稳定，请检查网络,,,,,,,,,,,
147,,类型选择,,,,,,,,,,,
148,,一般,,,,,,,,,,,
149,,良好,,,,,,,,,,,
150,,优秀,,,,,,,,,,,
151,,你关注的房主们暂时都在休假……,,,,,,,,,,,
152,,房主暂时没有开设房间,,,,,,,,,,,
153,,名称,,,,,,,,,,,
154,,人数,,,,,,,,,,,
155,,类型,,,,,,,,,,,
156,,描述,,,,,,,,,,,
157,,立即更新,,,,,,,,,,,
158,,游戏版本太低，请升级版本,,,,,,,,,,,
159,,由于该存档地图未分享，地图无法下载恢复,,,,,,,,,,,
160,,需要重新下载该存档，是否开始下载？,,,,,,,,,,,
161,,网络不稳定，上传/下载暂停，请检查网络后再试,,,,,,,,,,,
162,,没有关注地图，快去看看小伙伴的分享吧,,,,,,,,,,,
163,,进入游戏将会转换存档数据，可能需要几分钟，请耐心等待，请勿切出游戏,,,,,,,,,,,
